Round,Global_Accuracy,Global_F1,Personalized_Accuracy,Personalized_F1,KD_Accuracy,KD_F1
1,0.9724770784378052,0.9842931937172774,0.963302731513977,0.9791666666666666,0.963302731513977,0.9791666666666666
2,0.9449541568756104,0.9680851063829787,0.9724770784378052,0.9842931937172774,0.9724770784378052,0.9842931937172774
3,0.9541284441947937,0.9732620320855615,0.9816513657569885,0.9894736842105264,0.9816513657569885,0.9894736842105264
4,0.9541284441947937,0.9735449735449735,1.0,1.0,1.0,1.0
5,0.9724770784378052,0.9842931937172774,1.0,1.0,1.0,1.0
6,0.9816513657569885,0.9894736842105264,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9908257126808167,0.9946524064171123,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9908257126808167,0.9946524064171123,1.0,1.0,1.0,1.0
